brand,title,price,unit_price,unit,merchant
No Name,Large Grade A Eggs,3.79,0.32,ea,No Frills
No Name,Large Size Eggs,9.29,0.31,ea,No Frills
President's Choice,Free Run Brown Eggs Large,6.99,0.58,ea,No Frills
Burnbrae Farms,Grade A Large Eggs,6.69,0.37,ea,No Frills
No Name,Grade A Extra Large Eggs,4.49,0.37,ea,No Frills
Burnbrae Farms,"Naturegg Nest Laid White Eggs, Large",5.99,0.5,ea,No Frills
PC Organics,Free Range Large Brown Eggs,7.79,0.65,ea,No Frills
No Name,Medium Grade A White Eggs,3.59,0.3,ea,No Frills
Burnbrae Farms,"Naturegg Omega 3 White Eggs, Large",5.99,0.5,ea,No Frills
No Name,Grade A Large Brown Eggs,5.99,0.5,ea,No Frills
PC Blue Menu,Blue Menu Free Run Large White Eggs 12 Pack,7.29,0.61,ea,No Frills
Burnbrae Farms,"Grade A White Eggs, Large",2.89,0.48,ea,No Frills
PC Organics,Extra Large Size Free-Range Brown Eggs,7.99,0.67,ea,No Frills
President's Choice,Extra Large Free Run Brown Eggs,7.29,0.61,ea,No Frills
PC Blue Menu,Blue Menu Free Run Large Brown Eggs 12 Pack,7.79,0.65,ea,No Frills
Burnbrae Farms,"Grade A Brown Eggs, Extra-Large",6.49,0.54,ea,No Frills
PC Organics,Medium Size Free-Range Brown Eggs,7.59,0.63,ea,No Frills
Rowe Farms,Green Valley Eggs Size Large Free Run Brown,6.99,0.58,ea,No Frills
Burnbrae Farms,"Super Bon-Ee Grade A White Eggs, Super Extra Large",5.29,0.44,ea,No Frills
Burnbrae Farms,"Naturegg Omega Plus Solar Free Range Eggs, Large",7.99,0.67,ea,No Frills
Burnbrae Farms,"Prestige White Eggs, Large",4.79,0.4,ea,No Frills
Burnbrae Farms,"Nature's Best White Eggs, Large",5.49,0.46,ea,No Frills
Burnbrae Farms,"Naturegg Omega 3 Brown Eggs, Large",6.79,0.57,ea,No Frills
Rabbit River,"Organic Eggs, Medium",7.99,0.67,ea,No Frills
Burnbrae Farms,"Naturegg Solar Free Range Eggs, Large",7.99,0.67,ea,No Frills
SELECTION,Medium Eggs,3.59,0.3,ea,Food Basic
SELECTION,Large White Eggs,3.79,0.32,ea,Food Basic
SELECTION,Large White Eggs,5.59,0.31,ea,Food Basic
SELECTION,"Large Eggs, Value Pack",8.99,0.3,ea,Food Basic
SELECTION,Extra Large White Eggs,4.49,0.37,ea,Food Basic
GOLD EGG,"Large Brown Eggs, Omega-3",6.99,0.58,ea,Food Basic
BROWNIE,Large Brown Eggs,5.49,0.46,ea,Food Basic
GRAY RIDGE,Large Brown Eggs,7.09,0.39,ea,Food Basic
GRAY RIDGE,Large White Eggs,3.79,0.32,ea,Food Basic
BROWNIE,Extra Large Brown Eggs,5.29,0.44,ea,Food Basic
LIFE SMART,"Organic Large Brown Eggs, Free Range",7.79,0.65,ea,Food Basic
LIFE SMART,"Large Eggs From Free-Run Hens, Naturalia",8.99,0.5,ea,Food Basic
CONESTOGA,Free Run Large Brown Egg,9.79,0.54,ea,Food Basic
CONESTOGA,Free Run Hen White Large Egg,6.49,0.54,ea,Food Basic
LIFE SMART,"Large Eggs Form Free Run Hens, Naturalia",6.99,0.58,ea,Food Basic
CONESTOGA,Large Brown Free Run Omega-3 Eggs,6.99,0.58,ea,Food Basic
CONESTOGA FARMS,Large White Free Run Omega-3 Eggs,6.49,0.54,ea,Food Basic
GOLDEGG,Large Brown Eggs From The Nests Of Free Run Hens,6.79,0.57,ea,Food Basic
LIFE SMART,Organic Free Run Hence Extra Large Brown Eggs,7.99,0.67,ea,Food Basic
